               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.018428,            0.018029,           0.0007358,             0.74249,             0.74286,             0.63478,              0.3944,            0.032497,            0.012695,          0.00043076,            0.001316,            0.001316,            0.001316
                  90,            0.018211,            0.021501,           0.0011569,             0.75305,             0.75357,               0.647,             0.37838,            0.032978,            0.013249,          0.00036263,            0.001266,            0.001266,            0.001266
                  91,            0.016961,            0.023322,          0.00091946,             0.73181,             0.73214,             0.63215,             0.36681,            0.034022,            0.013429,          0.00035218,           0.0012202,           0.0012202,           0.0012202
                  92,            0.016882,            0.018095,          0.00063289,             0.75325,             0.75357,             0.65038,             0.39455,            0.032894,             0.01311,           0.0003082,           0.0011787,           0.0011787,           0.0011787
                  93,            0.018649,             0.02016,          0.00080296,             0.75313,             0.75357,              0.6571,             0.39145,            0.033005,            0.013569,          0.00039248,           0.0011414,           0.0011414,           0.0011414
                  94,            0.018716,            0.021603,          0.00089082,             0.73543,             0.73571,             0.64295,             0.39761,            0.033221,            0.013107,          0.00032277,           0.0011084,           0.0011084,           0.0011084
                  95,            0.017329,            0.015471,          0.00060013,             0.72839,             0.72857,             0.62942,             0.38723,            0.033708,             0.01266,          0.00021009,           0.0010797,           0.0010797,           0.0010797
                  96,            0.018368,            0.020829,          0.00073612,             0.73208,             0.73214,             0.63392,             0.39065,            0.033521,            0.012961,          0.00025482,           0.0010554,           0.0010554,           0.0010554
                  97,            0.018498,            0.019681,          0.00066283,              0.7339,             0.73214,             0.63726,             0.37522,            0.033632,            0.013174,          0.00029593,           0.0010355,           0.0010355,           0.0010355
                  98,            0.017421,            0.014769,          0.00041749,             0.76394,             0.76429,             0.66818,               0.386,            0.033132,            0.013379,          0.00028091,             0.00102,             0.00102,             0.00102
                  99,            0.018348,            0.027328,          0.00099575,             0.74613,             0.73929,             0.65767,             0.40309,            0.033355,            0.012918,          0.00030231,           0.0010089,           0.0010089,           0.0010089
